 relpix      w1150      w1200      w1250      w1300      w1350      w1400      w1450 
    -50  0.0001011  9.485e-05  9.123e-05  8.844e-05  8.769e-05  8.711e-05  8.764e-05 
    -49  0.0001059  0.0001003  9.703e-05   9.49e-05  9.526e-05  9.479e-05  9.696e-05 
    -48  0.0001115  0.0001065  0.0001037  0.0001026  0.0001035  0.0001037  0.0001076 
    -47  0.0001179  0.0001136  0.0001117  0.0001116  0.0001126  0.0001141  0.0001185 
    -46  0.0001256  0.0001222  0.0001211  0.0001217   0.000123  0.0001257  0.0001288 
    -45  0.0001348  0.0001324  0.0001319   0.000133  0.0001352  0.0001377  0.0001386 
    -44   0.000146  0.0001441  0.0001441  0.0001461  0.0001485  0.0001492  0.0001487 
    -43  0.0001593  0.0001573  0.0001582  0.0001609   0.000162  0.0001603  0.0001607 
    -42  0.0001745  0.0001724  0.0001745  0.0001768  0.0001753  0.0001731  0.0001761 
    -41   0.000192  0.0001902  0.0001927  0.0001928  0.0001894  0.0001895  0.0001948 
    -40  0.0002122  0.0002106  0.0002117  0.0002092  0.0002067  0.0002107  0.0002165 
    -39  0.0002354  0.0002328  0.0002309  0.0002277  0.0002289  0.0002359  0.0002414 
    -38  0.0002608  0.0002556  0.0002513  0.0002508  0.0002562   0.000264  0.0002704 
    -37  0.0002879  0.0002793  0.0002758  0.0002798  0.0002875  0.0002954  0.0003043 
    -36  0.0003169  0.0003066  0.0003069   0.000314  0.0003223  0.0003321   0.000343 
    -35  0.0003502  0.0003409  0.0003448  0.0003525  0.0003621  0.0003753  0.0003865 
    -34  0.0003903  0.0003836  0.0003883  0.0003962   0.000409   0.000425  0.0004353 
    -33  0.0004392  0.0004341  0.0004376  0.0004473  0.0004641   0.000481  0.0004927 
    -32   0.000497  0.0004915  0.0004947  0.0005077  0.0005275  0.0005457  0.0005647 
    -31  0.0005637  0.0005569  0.0005623  0.0005781  0.0006011  0.0006252  0.0006576 
    -30   0.000639  0.0006329  0.0006411  0.0006599    0.00069  0.0007262  0.0007721 
    -29  0.0007243   0.000721  0.0007321  0.0007578  0.0008004  0.0008519  0.0009016 
    -28  0.0008228  0.0008229  0.0008401  0.0008788  0.0009365  0.0009983   0.001038 
    -27   0.000939  0.0009431  0.0009735   0.001029   0.001097   0.001158   0.001184 
    -26   0.001079   0.001091    0.00114   0.001207   0.001278   0.001328    0.00135 
    -25    0.00125   0.001277    0.00134    0.00141   0.001474   0.001516   0.001547 
    -24   0.001459   0.001501   0.001568   0.001632   0.001687    0.00173   0.001762 
    -23   0.001707   0.001757   0.001817   0.001873   0.001924   0.001964   0.001963 
    -22   0.001993   0.002041   0.002092   0.002138   0.002181   0.002195   0.002128 
    -21    0.00232   0.002357   0.002397   0.002427   0.002442   0.002402   0.002276 
    -20   0.002685   0.002708   0.002728   0.002728   0.002693   0.002596   0.002454 
    -19    0.00307   0.003075   0.003064   0.003024   0.002936   0.002813   0.002702 
    -18   0.003454   0.003436   0.003394   0.003317   0.003204   0.003096   0.003021 
    -17    0.00384   0.003797   0.003732   0.003643   0.003542   0.003467   0.003396 
    -16   0.004271     0.0042   0.004127   0.004051   0.003979   0.003921   0.003815 
    -15   0.004793   0.004695   0.004627   0.004567   0.004502   0.004426   0.004278 
    -14   0.005426    0.00531   0.005243   0.005166   0.005064   0.004948   0.004785 
    -13   0.006172   0.006047   0.005948   0.005809   0.005639   0.005484   0.005342 
    -12   0.007063   0.006902    0.00673   0.006507   0.006272   0.006093   0.005989 
    -11   0.008165   0.007911   0.007649   0.007362   0.007088   0.006897   0.006813 
    -10   0.009567   0.009183   0.008862    0.00856   0.008272   0.008062   0.007951 
     -9    0.01141    0.01092    0.01061    0.01033    0.01003   0.009773   0.009591 
     -8    0.01392    0.01341    0.01317    0.01293    0.01256    0.01224    0.01201 
     -7    0.01753    0.01707    0.01694    0.01671    0.01622    0.01583    0.01565 
     -6    0.02298    0.02258    0.02258    0.02237    0.02176    0.02132    0.02137 
     -5    0.03133    0.03103    0.03121    0.03108    0.03047    0.03012    0.03044 
     -4    0.04364    0.04357    0.04399    0.04412    0.04379    0.04372    0.04409 
     -3    0.05991    0.06032    0.06105     0.0616    0.06193     0.0623    0.06238 
     -2    0.07782    0.07892    0.08002     0.0811    0.08233    0.08325    0.08284 
     -1    0.09258    0.09441     0.0958    0.09733     0.0994     0.1009     0.1001 
      0    0.09899     0.1013     0.1026     0.1042     0.1067     0.1085     0.1081 
      1    0.09454    0.09664     0.0976     0.0988     0.1009     0.1028      0.103 
      2    0.08097     0.0823     0.0826     0.0831     0.0843    0.08558    0.08654 
      3    0.06306    0.06333    0.06309    0.06297    0.06307    0.06346    0.06479 
      4    0.04581    0.04522    0.04469    0.04421     0.0435    0.04309    0.04427 
      5    0.03229    0.03126    0.03062       0.03    0.02898    0.02813    0.02883 
      6     0.0231      0.022    0.02132    0.02068    0.01971    0.01882    0.01902 
      7    0.01729    0.01631    0.01564    0.01504    0.01427    0.01354    0.01342 
      8     0.0136    0.01276    0.01214    0.01161    0.01105    0.01051     0.0103 
