 relpix      w1150      w1200      w1250      w1300      w1350      w1400      w1450 
      9    0.01112    0.01042   0.009866   0.009404   0.008971   0.008591   0.008413 
     10   0.009343   0.008797   0.008319   0.007911   0.007549   0.007246   0.007125 
     11   0.007964   0.007605   0.007224   0.006876   0.006562   0.006287   0.006172 
     12   0.006796   0.006622   0.006367   0.006104   0.005852   0.005603   0.005451 
     13   0.005768    0.00572   0.005594   0.005432   0.005262   0.005069   0.004891 
     14   0.004887    0.00488   0.004846   0.004777   0.004686   0.004571   0.004414 
     15   0.004175   0.004154   0.004151   0.004136     0.0041   0.004053   0.003953 
     16    0.00362   0.003579   0.003562   0.003558   0.003544   0.003535   0.003489 
     17   0.003176   0.003144   0.003108   0.003089   0.003071   0.003068   0.003052 
     18   0.002799   0.002803   0.002769   0.002735   0.002706   0.002692   0.002681 
     19   0.002464    0.00251   0.002501    0.00247   0.002433   0.002406   0.002386 
     20   0.002169   0.002239   0.002262    0.00225   0.002215    0.00218   0.002148 
     21   0.001919   0.001986   0.002031   0.002042   0.002018   0.001979   0.001934 
     22   0.001714   0.001755   0.001806   0.001835   0.001824   0.001786   0.001729 
     23   0.001551   0.001556   0.001594    0.00163   0.001633     0.0016   0.001535 
     24    0.00142   0.001395   0.001408   0.001438    0.00145   0.001427   0.001363 
     25    0.00131   0.001269   0.001256   0.001269   0.001283   0.001272   0.001216 
     26   0.001205   0.001168   0.001139   0.001131   0.001137   0.001135   0.001094 
     27   0.001094    0.00108   0.001046   0.001025   0.001018   0.001018  0.0009913 
     28  0.0009745  0.0009928   0.000967   0.000941  0.0009253  0.0009197  0.0009032 
     29  0.0008524     0.0009  0.0008936    0.00087  0.0008502   0.000839  0.0008244 
     30  0.0007401  0.0008004  0.0008188  0.0008055  0.0007857  0.0007711  0.0007529 
     31   0.000646  0.0007009   0.000738  0.0007419  0.0007269  0.0007115   0.000689 
     32  0.0005713  0.0006111  0.0006529  0.0006739  0.0006692  0.0006564  0.0006317 
     33  0.0005117   0.000537   0.000571  0.0006006  0.0006077  0.0006015  0.0005778 
     34  0.0004626  0.0004783     0.0005  0.0005271  0.0005414  0.0005428  0.0005228 
     35  0.0004205  0.0004311  0.0004427   0.000461  0.0004749  0.0004804  0.0004647 
     36  0.0003829  0.0003915  0.0003974  0.0004068  0.0004154  0.0004195  0.0004058 
     37  0.0003481   0.000357  0.0003602  0.0003639  0.0003666   0.000366  0.0003517 
     38  0.0003158  0.0003262  0.0003282  0.0003293  0.0003281   0.000323  0.0003066 
     39  0.0002865   0.000298  0.0002998  0.0002998   0.000297  0.0002895  0.0002712 
     40  0.0002609  0.0002716  0.0002744  0.0002737  0.0002704  0.0002626  0.0002435 
     41  0.0002383  0.0002472  0.0002512  0.0002504  0.0002467  0.0002396   0.000221 
     42  0.0002174  0.0002251  0.0002296  0.0002296  0.0002255   0.000219  0.0002016 
     43  0.0001973  0.0002055  0.0002093  0.0002105  0.0002067  0.0002005  0.0001843 
     44  0.0001786  0.0001879  0.0001909  0.0001927  0.0001898  0.0001839  0.0001689 
     45  0.0001618  0.0001715  0.0001748  0.0001761  0.0001743  0.0001689  0.0001554 
     46  0.0001472  0.0001561  0.0001604  0.0001611  0.0001598  0.0001549  0.0001432 
     47  0.0001344  0.0001421   0.000147   0.000148  0.0001464   0.000142  0.0001317 
     48  0.0001233  0.0001298  0.0001344  0.0001364  0.0001344  0.0001302  0.0001209 
     49  0.0001143   0.000119  0.0001227  0.0001254   0.000124  0.0001199  0.0001113 
     50  0.0001074  0.0001096  0.0001124   0.000115  0.0001145   0.000111   0.000103 
