         1604690 function calls (1398690 primitive calls) in 20.064 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1   13.091   13.091   19.158   19.158 window.py:218(loop)
    47081    3.606    0.000    3.606    0.000 {numpy.core.multiarray.array}
      250    0.339    0.001    4.087    0.016 view.py:353(getHardCore)
190466/8929    0.293    0.000    4.683    0.001 node.py:149(evaluate)
     5961    0.195    0.000    0.195    0.000 win32.py:101(safeGetError)
    31445    0.117    0.000    0.163    0.000 defmatrix.py:301(__getitem__)
      918    0.116    0.000    0.587    0.001 scene.py:109(getSquaredHitDistance)
        1    0.096    0.096    0.104    0.104 window.py:141(__init__)
   396903    0.082    0.000    0.082    0.000 node.py:76(printTrace)
      236    0.078    0.000    0.241    0.001 view.py:619(getScrolledCore)
    50425    0.063    0.000    0.077    0.000 defmatrix.py:279(__array_finalize__)
        1    0.058    0.058    0.058    0.058 wrapper.py:780(wrapperCall)
   154395    0.054    0.000    0.054    0.000 {isinstance}
     6504    0.052    0.000    0.066    0.000 {numpy.core._dotblas.dot}
    33524    0.051    0.000    0.116    0.000 shape_base.py:6(atleast_1d)
      894    0.049    0.000    0.078    0.000 GL_2_0.py:215(glGetUniformLocation)
    13393    0.045    0.000    3.625    0.000 defmatrix.py:233(__new__)
     2935    0.044    0.000    0.050    0.000 {numpy.core.multiarray.concatenate}
    32970    0.039    0.000    0.039    0.000 vecMath.py:6(addScalVec)
      181    0.037    0.000    0.189    0.001 view.py:1072(getTotalCore)
       15    0.035    0.002    0.380    0.025 __init__.py:1(<module>)
 9387/447    0.032    0.000    0.058    0.000 lists.py:123(asArray)
     6881    0.030    0.000    0.044    0.000 {built-in method __new__ of type object at 0x000000001E29D0E0}
      180    0.030    0.000    0.279    0.002 scene.py:79(setCore)
      447    0.030    0.000    0.100    0.000 window.py:273(render)
     4411    0.026    0.000    0.026    0.000 {numpy.core.multiarray.zeros}
 4242/411    0.025    0.000    0.035    0.000 node.py:122(invalidate)
    36283    0.024    0.000    0.057    0.000 numeric.py:322(asanyarray)
     1836    0.024    0.000    0.024    0.000 {numpy.linalg.lapack_lite.dgesv}
      720    0.023    0.000    0.038    0.000 GL_2_0.py:223(glGetAttribLocation)
        1    0.021    0.021    0.180    0.180 __init__.py:106(<module>)
     1836    0.021    0.000    0.120    0.000 linalg.py:244(solve)
     2947    0.020    0.000    0.165    0.000 {map}
     1836    0.018    0.000    0.199    0.000 defmatrix.py:817(getI)
        1    0.017    0.017    0.034    0.034 GL_4_3.py:9(<module>)
      894    0.016    0.000    0.198    0.000 shader.py:55(setUniform)
136964/136721    0.016    0.000    0.016    0.000 {len}
     1836    0.016    0.000    0.020    0.000 twodim_base.py:169(eye)
      638    0.016    0.000    0.016    0.000 {nt.stat}
