	A5554-NY2011-34	B57-NY2011-15	B73-NY2011-32	B76-NY2011-11	B97-NY2011-7	CML103-NY2011-46	CML108-NY2010-61	CML157Q-NY2011-59	CML158Q-NY2011-49	CML228-NY2010-70	CML277-O5P071851A	CML311-NY2010-356	CML322-NNY2011-44	CML341-02F1020	CML69-10A7711251A	CMl333-NY2010-122	F2834T-NY2010-108	F70NY2011-235	H84-NY2011-81	H95-NY2011-79	HP301-NY2011-77	HY-NY2010-93	IL14H-NY2011-131	KY21-NY2010-156	KY228-NY2010-154	Ki11-NY2010-162	Ki3-NY2010-159	Ki44-O4P168551A	M162W-NY2011-115	M37W-NY2010-149	MO17-NY2011-142	MO18W-NY2010-147	MS71-NY2011-101	NC260-NY2011-248	NC350-NY2010-185	NC358-NY2011-143	NC360-NY2011-211	OH40B-NY2010-556	OH43-NY2011-252	OH7B-NY2011-202	P39-NY2010-550	SC357-NY2010-244	T2I16-NY2010-231	TX303-NY2010-235	TZi8-NY2010-566	U267Y-NY2010-589	W22-NY2011-256	W64A-NY2011-215
GRMZM2G000280	50.5635	59.0122	53.8389	54.6365	74.6881	58.9195	42.3105	64.3789	52.9245	50.3268	54.7932	42.1397	57.3261	47.8954	53.6469	57.6668	57.5906	75.9769	63.7176	60.9676	51.1573	52.4488	55.8194	59.8087	41.6803	52.9849	47.7311	62.6255	58.6381	50.0028	75.9357	37.9435	53.2408	71.4172	52.2873	48.4248	37.4557	63.1461	59.8458	54.9144	51.2869	45.6683	47.9757	54.4376	58.8526	53.4257	60.4314	59.7298
GRMZM2G000825	4.25159	6.35093	2.6880599999999997	1.9113799999999999	5.10341	6.88427	10.0741	2.12533	6.20585	3.3451800000000005	3.8715300000000004	21.5993	5.735519999999999	7.74914	7.229019999999999	4.24065	5.58889	2.78491	3.10183	0.0	6.196359999999999	2.7690799999999998	7.07493	6.24936	9.31241	3.97306	1.09382	2.17587	3.7378699999999996	6.01691	7.039460000000001	1.8254099999999998	7.1132100000000005	2.99728	7.21775	8.70157	8.56868	3.82133	7.2038	6.48215	4.605980000000001	3.37456	4.93267	5.78899	3.8042300000000004	2.36043	3.92214	2.2016299999999998
GRMZM2G001639	50.0241	64.5297	95.7844	140.668	56.2855	83.6019	96.2915	84.42399999999999	67.9508	104.559	82.8034	96.1936	108.34299999999999	131.234	62.8659	101.066	83.0043	130.77200000000002	81.5535	75.2672	78.4307	164.602	89.8887	70.2661	50.3451	94.9052	142.493	73.1744	114.49600000000001	88.2751	117.67299999999999	169.87599999999998	82.171	121.521	92.7721	129.371	99.57600000000001	78.1846	79.7906	54.1166	80.5294	137.025	61.7251	110.663	84.1183	91.0768	129.336	77.7418
GRMZM2G002023	27.0731	25.9975	33.4524	18.0532	31.9262	28.9353	29.4155	18.7831	49.5527	52.7859	22.5251	20.2098	25.019000000000002	20.7914	24.9432	23.1161	23.7578	25.3213	26.6243	20.0519	26.4672	22.4878	35.2945	28.9725	33.7091	27.0057	24.0879	33.0529	19.4112	17.3446	21.0821	37.36	27.0733	12.5865	32.1463	31.862	36.2062	16.625999999999998	26.5108	22.8349	27.5652	20.7353	27.1735	25.0824	15.988	15.925999999999998	22.8869	32.5413
GRMZM2G002276	25.9221	19.1719	18.99	21.3883	16.2565	20.1761	16.7334	19.3505	16.6181	22.1262	16.2057	15.6799	20.6617	20.0477	20.0167	19.2418	21.3526	25.5494	20.3746	20.6651	20.5634	20.2492	23.2432	19.3724	13.8279	19.8092	19.6684	20.5072	23.4222	19.8374	25.9979	23.9446	17.8057	19.4121	15.2159	18.0186	17.29	20.6763	20.316	16.8294	17.6382	17.9447	20.5192	13.4762	17.2023	25.0044	22.4455	17.9277
GRMZM2G002652	52.2264	53.8685	83.0564	61.5096	64.8339	44.026	97.5405	166.699	132.87	112.637	115.57600000000001	60.8451	87.4704	61.7933	52.0851	81.4697	72.4207	34.7276	90.0214	0.0	47.4624	44.11600000000001	79.1983	78.5666	91.4765	52.5005	34.1399	48.9066	65.5038	39.1627	35.3298	189.563	78.60600000000001	76.595	61.3228	50.218	139.05200000000002	91.2798	57.9977	61.0892	36.417	64.7935	88.5529	57.7961	46.0639	50.0117	50.6593	108.354
GRMZM2G002978	19.4995	15.3556	17.813	22.1676	17.8067	18.1342	15.0242	17.5947	14.69	17.7496	13.7899	13.9857	17.5928	23.572	14.6737	14.7458	22.5786	17.3306	14.2758	0.0	16.5798	17.5439	21.1926	18.4276	13.1702	16.017	17.1284	19.6261	21.8958	14.4324	19.6333	16.1666	16.5153	19.6438	12.7057	18.1776	14.5716	18.6506	15.3857	15.2356	21.7887	20.7861	16.0546	15.0992	16.6499	24.7913	24.6691	17.1627
GRMZM2G003406	1.63344	8.1343	30.0554	2.36686	9.47052	7.27508	23.7417	7.3803	21.0884	6.382709999999999	20.9066	9.73166	11.3326	10.3968	10.8327	2.948	16.0722	2.5762099999999997	16.7003	0.0	9.01628	7.99684	10.3289	22.5444	16.2146	20.1889	5.2228699999999995	2.37417	1.59702	5.92776	6.58143	4.39561	15.8165	1.91943	12.7288	14.6681	16.3643	14.6774	12.4252	9.53273	17.5005	2.49761	2.99324	4.489730000000001	3.19219	4.25214	12.5545	9.82443
GRMZM2G003953	8.13314	2.4567799999999997	0.0	10.948	1.0893700000000002	0.0989577	1.3884	0.10278499999999999	1.57596	1.1320299999999999	1.21333	0.0	0.0	0.0	2.76815	0.131028	0.0546422	0.7441979999999999	0.143804	0.0	0.21271900000000002	0.0	3.1505799999999997	0.485249	2.5520400000000003	1.05354	1.05364	0.0941071	3.8212099999999998	0.0502122	0.051785300000000006	1.3687799999999999	0.0	0.0	0.562112	0.25322	0.11548599999999999	1.68113	3.80671	0.3371	0.325753	2.85174	1.9386900000000002	3.75929	0.44811599999999996	0.228726	0.0	0.0
GRMZM2G004023	11.360999999999999	7.57037	10.2803	12.5386	5.59016	8.87613	9.42933	11.9187	7.2565800000000005	10.0115	4.2439800000000005	8.58672	8.68757	6.69567	9.22545	8.93102	4.7821	9.24622	14.8737	0.0	6.04651	12.7898	10.4335	7.793139999999999	3.92231	8.36059	5.95677	9.45027	11.0589	10.4528	7.22195	8.67337	6.679530000000001	7.29362	8.01251	7.303439999999999	6.44365	9.080869999999999	9.00923	6.539540000000001	12.241	8.25399	9.684569999999999	10.2358	6.05537	10.3794	13.8378	8.99463
