title,body,labels
Brainstorm fun ideas
Determine budget for design
Determine budget for website
Determine budget for childcare
Determine budget for financial aid
Determine budget for explore montreal
Determine budget for the DjangoCon dinners
Determine budget for open spaces
Determine budget for swag
Determine budget for t-shirts
Determine budget for the opening reception
Review budget with the DEFNA board
Enter all DjangoCon expenses
