name,color
audio/visual,
budget,
code of conduct,
design,
expo hall,
financial aid,
food,
green room,
hotels,
keynotes,
lightning talks,
mobile guide,
open spaces,
post-mortem-collection,
print guide,
registration,
sponsors,
sprints,
suggestions,
talks,
tutorials,
venues,
volunteers,
website,
