 relpix      w1450      w1500      w1550      w1600      w1650      w1700      w1750 
    -50  8.099e-05  8.277e-05  8.329e-05  8.207e-05  8.084e-05  8.009e-05  7.992e-05 
    -49  8.796e-05  8.956e-05  8.927e-05  8.817e-05  8.754e-05  8.719e-05  8.776e-05 
    -48  9.576e-05  9.678e-05  9.598e-05  9.526e-05  9.533e-05  9.562e-05  9.662e-05 
    -47  0.0001044  0.0001047  0.0001037  0.0001036  0.0001041  0.0001053   0.000106 
    -46   0.000114  0.0001134  0.0001126  0.0001132  0.0001143   0.000116  0.0001159 
    -45  0.0001244  0.0001229   0.000123  0.0001242  0.0001257  0.0001275  0.0001273 
    -44  0.0001351  0.0001337  0.0001351  0.0001369  0.0001386  0.0001403  0.0001413 
    -43  0.0001462  0.0001466   0.000149  0.0001512  0.0001528  0.0001553  0.0001584 
    -42   0.000159  0.0001617  0.0001648  0.0001673  0.0001691  0.0001731  0.0001784 
    -41  0.0001746  0.0001791  0.0001824  0.0001855  0.0001881  0.0001939  0.0002003 
    -40  0.0001932  0.0001985  0.0002022  0.0002065  0.0002105  0.0002176  0.0002233 
    -39  0.0002144  0.0002198  0.0002251  0.0002308  0.0002363   0.000244  0.0002481 
    -38  0.0002381  0.0002445  0.0002518   0.000259  0.0002662   0.000274   0.000277 
    -37  0.0002651   0.000274  0.0002833   0.000292   0.000301  0.0003093  0.0003134 
    -36  0.0002975  0.0003092  0.0003198  0.0003309  0.0003419  0.0003519  0.0003601 
    -35  0.0003366  0.0003498  0.0003624  0.0003771  0.0003901  0.0004038  0.0004197 
    -34  0.0003817  0.0003959  0.0004127  0.0004315  0.0004466  0.0004668   0.000493 
    -33  0.0004316   0.000449  0.0004728  0.0004953  0.0005138  0.0005435  0.0005782 
    -32  0.0004876  0.0005133  0.0005448  0.0005706  0.0005951  0.0006354  0.0006709 
    -31  0.0005555  0.0005935  0.0006312  0.0006612  0.0006943  0.0007406  0.0007678 
    -30  0.0006436  0.0006929   0.000735  0.0007713  0.0008114  0.0008549  0.0008709 
    -29  0.0007578  0.0008132  0.0008588   0.000901  0.0009414  0.0009749  0.0009841 
    -28  0.0008971  0.0009532   0.001001   0.001045   0.001077   0.001099   0.001107 
    -27   0.001054   0.001109   0.001158   0.001194   0.001213   0.001227   0.001232 
    -26   0.001223   0.001278   0.001322   0.001343   0.001351   0.001358   0.001348 
    -25   0.001406    0.00146   0.001491   0.001497   0.001495    0.00149   0.001452 
    -24    0.00161   0.001653   0.001667   0.001659   0.001648   0.001619   0.001546 
    -23   0.001835   0.001856   0.001852   0.001832   0.001803   0.001743   0.001641 
    -22   0.002066   0.002062    0.00204   0.002005   0.001951   0.001865   0.001748 
    -21   0.002286   0.002259   0.002221   0.002169   0.002095   0.001998   0.001887 
    -20   0.002485   0.002443   0.002393   0.002333   0.002254   0.002169   0.002084 
    -19   0.002676   0.002626   0.002578   0.002528   0.002463   0.002407   0.002356 
    -18   0.002888   0.002846    0.00282   0.002791   0.002746   0.002716   0.002684 
    -17    0.00317   0.003155   0.003154   0.003131   0.003089   0.003057   0.003015 
    -16   0.003564   0.003575   0.003566   0.003511    0.00344   0.003377   0.003311 
    -15   0.004075   0.004069   0.003998   0.003879   0.003762   0.003661   0.003582 
    -14   0.004653   0.004566   0.004406   0.004228   0.004078    0.00396   0.003883 
    -13   0.005248    0.00505   0.004826   0.004626   0.004469   0.004352   0.004267 
    -12   0.005871   0.005596   0.005369   0.005188   0.005037   0.004911   0.004773 
    -11   0.006616   0.006336   0.006165   0.006025   0.005869     0.0057   0.005454 
    -10    0.00761   0.007404   0.007321   0.007216   0.007025   0.006781   0.006403 
     -9    0.00901   0.008923   0.008916   0.008808   0.008551    0.00822   0.007744 
     -8    0.01105    0.01105    0.01107     0.0109    0.01055    0.01014   0.009647 
     -7    0.01414    0.01413     0.0141    0.01384     0.0134    0.01295    0.01252 
     -6    0.01909    0.01896    0.01888    0.01856    0.01807    0.01764    0.01737 
     -5    0.02729    0.02702    0.02695    0.02667    0.02625    0.02597    0.02601 
     -4    0.04038    0.04004    0.04005    0.03993    0.03975    0.03987    0.04037 
     -3    0.05872    0.05853    0.05864     0.0588    0.05904    0.05976     0.0607 
     -2    0.07952    0.07984    0.08012    0.08066     0.0814    0.08269    0.08375 
     -1    0.09686    0.09804    0.09858     0.0995     0.1006     0.1023      0.103 
      0     0.1047     0.1067     0.1075     0.1086     0.1099     0.1116      0.112 
      1     0.1008      0.103     0.1037     0.1047      0.106     0.1075     0.1078 
      2    0.08742    0.08891    0.08935    0.08998      0.091    0.09204    0.09262 
      3    0.06917    0.06947    0.06957     0.0698     0.0704    0.07085    0.07169 
      4    0.05052    0.04984    0.04975    0.04971    0.04986    0.04973     0.0506 
      5    0.03467    0.03358    0.03344    0.03328     0.0331    0.03258    0.03322 
      6    0.02314    0.02212    0.02197    0.02176    0.02143    0.02079    0.02106 
      7    0.01585    0.01507    0.01487    0.01463    0.01427    0.01368    0.01363 
      8    0.01162    0.01105    0.01082    0.01057    0.01022   0.009728   0.009455 
      9   0.009156    0.00872   0.008486   0.008245   0.007945   0.007521   0.007132 
     10   0.007559   0.007196   0.006982   0.006771   0.006525   0.006172   0.005754 
     11   0.006425   0.006092   0.005885   0.005697   0.005504   0.005234   0.004862 
     12   0.005615   0.005291   0.005067   0.004877   0.004713   0.004516   0.004232 
     13   0.005047   0.004747   0.004503   0.004294   0.004125   0.003961   0.003752 
     14   0.004615   0.004379   0.004145   0.003923   0.003736   0.003568   0.003385 
     15   0.004205   0.004068   0.003888   0.003688     0.0035   0.003321   0.003127 
     16   0.003763    0.00372   0.003623   0.003482   0.003327   0.003164    0.00296 
     17   0.003307    0.00332   0.003296   0.003227    0.00313    0.00301   0.002827 
     18   0.002888   0.002912   0.002928   0.002913   0.002868   0.002798   0.002661 
     19   0.002546   0.002551   0.002574   0.002582   0.002566   0.002529   0.002439 
     20   0.002289   0.002264   0.002272   0.002281   0.002272   0.002246   0.002187 
     21   0.002099    0.00205   0.002034   0.002031   0.002019   0.001992   0.001945 
