 relpix      w1450      w1500      w1550      w1600      w1650      w1700      w1750 
     22   0.001946   0.001895   0.001857   0.001834   0.001813   0.001782   0.001735 
     23   0.001803   0.001777   0.001731   0.001687   0.001652   0.001612   0.001562 
     24   0.001655   0.001667   0.001636   0.001584   0.001534   0.001481   0.001423 
     25   0.001501   0.001549   0.001548   0.001507    0.00145   0.001385   0.001317 
     26   0.001345   0.001418    0.00145   0.001433   0.001383   0.001312   0.001236 
     27   0.001192   0.001276   0.001335   0.001346   0.001312   0.001244   0.001163 
     28   0.001048    0.00113   0.001205   0.001242   0.001227   0.001167   0.001088 
     29  0.0009229  0.0009876   0.001066    0.00112   0.001126   0.001079   0.001006 
     30  0.0008195   0.000861  0.0009273  0.0009874   0.001011  0.0009792  0.0009153 
     31  0.0007375  0.0007577  0.0008032  0.0008555   0.000887  0.0008697   0.000819 
     32  0.0006712  0.0006781  0.0007022  0.0007379   0.000766  0.0007575  0.0007207 
     33  0.0006143  0.0006161  0.0006251  0.0006429  0.0006594  0.0006519  0.0006268 
     34  0.0005634  0.0005645  0.0005662  0.0005707  0.0005736  0.0005611  0.0005426 
     35  0.0005176  0.0005188  0.0005184  0.0005157  0.0005085  0.0004889   0.000471 
     36  0.0004756  0.0004776  0.0004766  0.0004717  0.0004594  0.0004345  0.0004134 
     37  0.0004347  0.0004409  0.0004389  0.0004336  0.0004203  0.0003937   0.000369 
     38  0.0003933   0.000407  0.0004057  0.0003996  0.0003868  0.0003609  0.0003353 
     39  0.0003524   0.000373  0.0003763  0.0003695  0.0003568  0.0003325  0.0003075 
     40  0.0003146  0.0003381  0.0003485  0.0003434  0.0003299  0.0003069  0.0002825 
     41  0.0002822  0.0003039  0.0003198  0.0003195  0.0003066  0.0002848  0.0002597 
     42   0.000255  0.0002728  0.0002899  0.0002952  0.0002854  0.0002662  0.0002401 
     43  0.0002319  0.0002461  0.0002612  0.0002694  0.0002643  0.0002495  0.0002238 
     44  0.0002115  0.0002236  0.0002353  0.0002431  0.0002419  0.0002321  0.0002088 
     45  0.0001931   0.000204  0.0002133   0.000219  0.0002193   0.000213   0.000193 
     46  0.0001762  0.0001865  0.0001945  0.0001982  0.0001981  0.0001932  0.0001756 
     47  0.0001606  0.0001706   0.000178  0.0001808    0.00018  0.0001747  0.0001584 
     48  0.0001468  0.0001558  0.0001631  0.0001657  0.0001645  0.0001586  0.0001429 
     49  0.0001351  0.0001424  0.0001495  0.0001522  0.0001513  0.0001448    0.00013 
     50   0.000125  0.0001306   0.000137    0.00014  0.0001392  0.0001327  0.0001193 
