   relpix       w1700       w1800       w1900       w2000       w2100       w2200       w2300       w2400       w2500       w2600       w2700       w2800       w2900       w3000       w3100       w3200 
 -50.1667   7.221e-05    7.17e-05   6.939e-05   6.723e-05   6.984e-05   8.028e-05   8.217e-05    9.12e-05   9.141e-05   9.288e-05   0.0001014  0.00011196  0.00011415  0.00012201  0.00014373   0.0001653 
 -49.8333   7.017e-05   6.744e-05   6.627e-05   6.546e-05   6.978e-05   7.677e-05   7.752e-05   8.847e-05   8.865e-05   9.021e-05  0.00010089  0.00011331  0.00011334  0.00012618    0.000144  0.00017064 
    -49.5   6.987e-05   6.576e-05   6.555e-05   6.636e-05   7.113e-05   7.539e-05   7.767e-05   8.781e-05   8.814e-05   9.246e-05    0.000102  0.00011532  0.00011538  0.00013302  0.00014973  0.00017943 
 -49.1667    7.05e-05   6.621e-05   6.633e-05    6.84e-05   7.272e-05    7.53e-05    8.07e-05   8.811e-05    8.88e-05   9.723e-05  0.00010461  0.00011718  0.00011943  0.00013911  0.00015744  0.00018834 
 -48.8333   7.149e-05   6.813e-05   6.738e-05   7.023e-05   7.431e-05   7.581e-05   8.502e-05   8.913e-05   8.988e-05  0.00010221  0.00010905  0.00011898  0.00012447  0.00014364  0.00016608  0.00019533 
    -48.5   7.293e-05   7.092e-05   6.825e-05    7.17e-05   7.623e-05   7.677e-05   8.943e-05   9.102e-05   9.156e-05  0.00010638   0.0001152  0.00012123  0.00013053  0.00014898  0.00017625  0.00020097 
 -48.1667   7.491e-05   7.377e-05    6.93e-05   7.344e-05   7.866e-05   7.851e-05   9.321e-05   9.345e-05   9.462e-05  0.00010986  0.00012183  0.00012429  0.00013818  0.00015714  0.00018783  0.00020721 
 -47.8333   7.698e-05   7.581e-05   7.098e-05   7.596e-05   8.136e-05   8.142e-05   9.618e-05   9.594e-05   9.951e-05  0.00011289  0.00012729  0.00012831  0.00014661   0.0001671  0.00019953  0.00021357 
    -47.5   7.854e-05   7.689e-05   7.353e-05   7.926e-05   8.376e-05   8.547e-05   9.828e-05   9.828e-05  0.00010572  0.00011619  0.00013095  0.00013317  0.00015381  0.00017724  0.00020937  0.00021804 
 -47.1667   7.935e-05   7.767e-05   7.698e-05   8.259e-05    8.55e-05   9.039e-05   9.966e-05  0.00010029  0.00011199  0.00012075  0.00013338  0.00013866  0.00015951  0.00018753  0.00021669   0.0002223 
 -46.8333    8.01e-05    7.89e-05   8.064e-05   8.535e-05   8.682e-05   9.579e-05  0.00010113  0.00010218  0.00011742  0.00012708   0.0001356  0.00014529  0.00016629   0.0001989  0.00022308  0.00023109 
    -46.5   8.154e-05    8.04e-05    8.37e-05   8.781e-05   8.814e-05  0.00010113  0.00010341  0.00010473  0.00012198  0.00013443  0.00013845  0.00015372   0.0001758  0.00021132  0.00022977  0.00024375 
 -46.1667   8.403e-05   8.169e-05   8.592e-05   9.051e-05   9.003e-05  0.00010575  0.00010641  0.00010914  0.00012582  0.00014115  0.00014247  0.00016293  0.00018693  0.00022329  0.00023532  0.00025257 
 -45.8333    8.73e-05    8.28e-05   8.805e-05   9.363e-05   9.303e-05  0.00010941  0.00010956  0.00011559  0.00012945  0.00014619   0.0001476  0.00017079  0.00019824  0.00023295  0.00023961  0.00025251 
    -45.5    9.06e-05   8.442e-05   9.087e-05   9.678e-05   9.738e-05  0.00011205  0.00011244    0.000123  0.00013401  0.00014958  0.00015381  0.00017745  0.00021015  0.00024048   0.0002469  0.00024732 
 -45.1667     9.3e-05   8.712e-05   9.456e-05   9.936e-05  0.00010284    0.000114  0.00011496   0.0001299  0.00014046  0.00015219   0.0001614   0.0001857  0.00022347  0.00024765  0.00025947  0.00024345 
 -44.8333   9.429e-05   9.105e-05   9.843e-05  0.00010119  0.00010905  0.00011595  0.00011745  0.00013569  0.00014841  0.00015513  0.00017094  0.00019698   0.0002376  0.00025437  0.00027132  0.00024204 
    -44.5    9.54e-05   9.576e-05  0.00010188  0.00010284  0.00011544   0.0001188  0.00012099  0.00014055  0.00015639  0.00015915   0.0001812  0.00020988  0.00025035  0.00025965  0.00027486  0.00024024 
 -44.1667   9.699e-05  0.00010017  0.00010509  0.00010494  0.00012117  0.00012246  0.00012666  0.00014484  0.00016278  0.00016455  0.00019011  0.00022308  0.00026031   0.0002661  0.00027072  0.00023724 
 -43.8333   9.879e-05  0.00010356   0.0001086  0.00010812  0.00012573  0.00012627  0.00013446  0.00014958  0.00016713  0.00017139  0.00019806  0.00023709  0.00026841  0.00027768  0.00026556  0.00023655 
    -43.5  0.00010041  0.00010644  0.00011256  0.00011271  0.00012906  0.00012975  0.00014298  0.00015603  0.00017037  0.00017991  0.00020808  0.00025242  0.00027594  0.00029115   0.0002628  0.00024258 
 -43.1667  0.00010221   0.0001098  0.00011634  0.00011871  0.00013149  0.00013287  0.00015081  0.00016449  0.00017364  0.00019044  0.00022131  0.00026793   0.0002823  0.00029802  0.00026055  0.00025641 
 -42.8333  0.00010509  0.00011403  0.00011934  0.00012576  0.00013392  0.00013623  0.00015744  0.00017373  0.00017799  0.00020175  0.00023613  0.00028128  0.00028866  0.00029571  0.00025755  0.00027468 
