 relpix      w1250      w1300      w1350      w1400      w1450      w1500      w1550      w1600      w1650      w1700      w1750      w1800 
    -32  0.0005952  0.0006142  0.0006403  0.0006675  0.0006977  0.0007344  0.0007802  0.0008223  0.0008512  0.0008673  0.0008674  0.0008561 
    -31  0.0006809  0.0007057   0.000734  0.0007641  0.0008036  0.0008523  0.0009037  0.0009396  0.0009532  0.0009517  0.0009391  0.0009223 
    -30  0.0007822  0.0008112  0.0008437  0.0008828  0.0009349  0.0009897   0.001034   0.001051   0.001046   0.001029   0.001014   0.001004 
    -29   0.000901  0.0009357  0.0009782    0.00103   0.001088   0.001134   0.001156   0.001152   0.001132   0.001113   0.001109   0.001117 
    -28   0.001042   0.001088   0.001144     0.0012   0.001247   0.001269   0.001266   0.001249   0.001231   0.001224   0.001239   0.001265 
    -27   0.001214   0.001274   0.001333   0.001376   0.001397   0.001392   0.001376   0.001364   0.001364   0.001376   0.001405   0.001436 
    -26   0.001421   0.001484   0.001528   0.001542   0.001535   0.001519   0.001513   0.001521   0.001539   0.001561   0.001589   0.001604 
    -25   0.001653   0.001699   0.001713   0.001699   0.001683    0.00168   0.001695    0.00172   0.001742   0.001756   0.001761   0.001744 
    -24   0.001891   0.001907   0.001894   0.001873    0.00187   0.001887   0.001916   0.001938   0.001942    0.00193   0.001901   0.001849 
    -23   0.002126   0.002117   0.002097   0.002088   0.002102   0.002125   0.002143   0.002139   0.002113    0.00207    0.00201   0.001929 
    -22    0.00237   0.002352    0.00234   0.002341   0.002354   0.002359   0.002347   0.002309   0.002252   0.002183   0.002103   0.002004 
    -21   0.002639   0.002621   0.002611   0.002605   0.002595   0.002568   0.002522   0.002455   0.002376   0.002292     0.0022   0.002094 
    -20   0.002932   0.002908   0.002885   0.002857   0.002816    0.00276   0.002689   0.002602    0.00251   0.002417   0.002321   0.002217 
    -19   0.003238   0.003198   0.003157   0.003104   0.003038   0.002961   0.002874   0.002775   0.002672   0.002574   0.002481    0.00239 
    -18   0.003561   0.003508   0.003448   0.003372   0.003287   0.003194   0.003093   0.002984   0.002875   0.002778   0.002696   0.002627 
    -17   0.003929   0.003865   0.003784   0.003682   0.003576   0.003464    0.00335   0.003237   0.003133   0.003045   0.002979   0.002933 
    -16   0.004364   0.004278   0.004166   0.004031   0.003899   0.003772   0.003655   0.003551   0.003463   0.003389   0.003338   0.003306 
    -15   0.004858   0.004732   0.004579   0.004412   0.004263   0.004134   0.004031   0.003948    0.00388   0.003818   0.003773    0.00374 
    -14   0.005386   0.005214   0.005026   0.004845   0.004701   0.004591   0.004514   0.004454   0.004397   0.004335   0.004277   0.004224 
    -13   0.005959   0.005754   0.005558   0.005391   0.005274   0.005191   0.005136   0.005081   0.005016   0.004932   0.004846   0.004758 
    -12    0.00665   0.006445   0.006267    0.00613    0.00604    0.00597   0.005911   0.005834   0.005736   0.005611   0.005487   0.005365 
    -11   0.007587   0.007402   0.007247   0.007122   0.007029   0.006937   0.006839   0.006715   0.006568   0.006398   0.006244   0.006106 
    -10   0.008901   0.008724   0.008555   0.008393   0.008253   0.008105    0.00795   0.007772   0.007581   0.007392   0.007239   0.007128 
     -9    0.01071    0.01049    0.01025    0.01001   0.009796    0.00959   0.009398   0.009197   0.008998   0.008855   0.008772   0.008764 
     -8    0.01321    0.01291    0.01257    0.01223    0.01198    0.01177    0.01161    0.01146    0.01132    0.01133    0.01141    0.01159 
     -7    0.01692    0.01655    0.01614    0.01575    0.01556    0.01545    0.01544    0.01542    0.01541    0.01565    0.01597     0.0164 
     -6     0.0229    0.02258    0.02221    0.02189    0.02187    0.02197    0.02219    0.02235    0.02248    0.02297     0.0235    0.02412 
     -5    0.03278    0.03272    0.03257    0.03246    0.03272    0.03307    0.03352    0.03381    0.03402    0.03468     0.0353    0.03597 
     -4    0.04804    0.04848    0.04876      0.049    0.04959    0.05019     0.0508    0.05117     0.0514    0.05206    0.05262    0.05313 
     -3    0.06843    0.06952    0.07038    0.07111    0.07204    0.07286    0.07358    0.07402     0.0743    0.07484    0.07518    0.07536 
     -2    0.09033    0.09192    0.09334    0.09456    0.09573    0.09671    0.09749    0.09807    0.09852    0.09888    0.09901    0.09886 
     -1     0.1068     0.1085     0.1101     0.1115     0.1127     0.1136     0.1144     0.1151     0.1158      0.116      0.116     0.1158 
      0     0.1109      0.112     0.1133     0.1144     0.1152     0.1159     0.1164     0.1171     0.1179      0.118     0.1182     0.1181 
      1     0.1003     0.1006      0.101     0.1016     0.1017     0.1019     0.1021     0.1025     0.1031     0.1032     0.1034     0.1037 
      2    0.07921    0.07883    0.07861     0.0785    0.07817    0.07792    0.07773     0.0778    0.07801    0.07796    0.07811    0.07842 
      3    0.05578    0.05507     0.0545    0.05405     0.0535    0.05303    0.05265    0.05243    0.05233    0.05214    0.05212    0.05229 
      4    0.03647    0.03574    0.03512     0.0346    0.03405    0.03357    0.03317    0.03286    0.03263    0.03241    0.03225    0.03223 
      5     0.0236    0.02297    0.02241    0.02194    0.02147    0.02106    0.02071    0.02043    0.02021    0.02003    0.01985    0.01973 
      6    0.01615    0.01563    0.01516    0.01475    0.01435    0.01399    0.01368    0.01344    0.01325    0.01311    0.01294     0.0128 
      7    0.01209    0.01167    0.01127     0.0109    0.01055    0.01022   0.009938   0.009701   0.009513   0.009375    0.00921   0.009059 
      8   0.009788   0.009429   0.009086   0.008765    0.00845   0.008157   0.007889   0.007655   0.007457   0.007297   0.007119    0.00695 
      9   0.008334   0.008013   0.007711   0.007425   0.007145   0.006881   0.006636   0.006413   0.006216   0.006042   0.005857   0.005678 
     10   0.007318   0.007032   0.006759   0.006498   0.006242   0.005999   0.005772   0.005562    0.00537   0.005194   0.005014   0.004838 
     11   0.006502   0.006284   0.006057   0.005827   0.005591   0.005363   0.005147   0.004945   0.004756   0.004579   0.004405   0.004236 
     12   0.005709   0.005598   0.005456   0.005285    0.00509   0.004888   0.004688   0.004496    0.00431   0.004136   0.003966     0.0038 
     13   0.004871   0.004871   0.004836   0.004754   0.004627   0.004474   0.004308   0.004141   0.003974   0.003811   0.003651   0.003492 
     14   0.004056   0.004116   0.004166   0.004175   0.004129   0.004043   0.003929   0.003805   0.003672   0.003533   0.003397   0.003256 
     15   0.003379   0.003433   0.003512   0.003576   0.003595   0.003576    0.00352   0.003445   0.003354   0.003245   0.003142    0.00303 
     16   0.002902   0.002908   0.002961   0.003028   0.003078   0.003103   0.003097   0.003067   0.003016   0.002938   0.002864   0.002782 
     17   0.002592   0.002558    0.00256    0.00259   0.002631    0.00267   0.002693   0.002698   0.002681   0.002632   0.002582    0.00252 
     18   0.002369   0.002333   0.002301   0.002283   0.002285   0.002308   0.002336   0.002359   0.002367   0.002347   0.002317   0.002272 
     19   0.002159   0.002159   0.002134   0.002088   0.002048   0.002034   0.002043   0.002064   0.002084   0.002086   0.002076   0.002048 
     20   0.001932   0.001977   0.001992    0.00196   0.001901    0.00185   0.001825   0.001825    0.00184   0.001852   0.001856   0.001845 
     21   0.001696   0.001769   0.001828    0.00184     0.0018   0.001737   0.001682    0.00165   0.001644   0.001648   0.001656   0.001657 
     22   0.001474   0.001552   0.001633   0.001689   0.001693   0.001654   0.001595   0.001539   0.001503   0.001486   0.001485   0.001487 
     23   0.001282   0.001349    0.00143   0.001506    0.00155   0.001556   0.001524   0.001471   0.001415   0.001374   0.001351   0.001343 
     24   0.001121   0.001176   0.001243   0.001315   0.001376   0.001418    0.00143   0.001409    0.00136   0.001305   0.001261   0.001234 
     25  0.0009887   0.001031   0.001085   0.001144   0.001199   0.001253   0.001297   0.001318   0.001303   0.001258   0.001206   0.001162 
     26  0.0008783  0.0009106  0.0009548   0.001001   0.001044   0.001091   0.001142    0.00119   0.001215   0.001202   0.001166   0.001117 
     27  0.0007853  0.0008085  0.0008448  0.0008826  0.0009165  0.0009509  0.0009922   0.001043   0.001093   0.001114    0.00111   0.001079 
     28  0.0007054   0.000722  0.0007508  0.0007829  0.0008109  0.0008366   0.000866  0.0009061  0.0009559  0.0009963   0.001023   0.001022 
     29   0.000633  0.0006489  0.0006702  0.0006975  0.0007215  0.0007421  0.0007631  0.0007912  0.0008295  0.0008691  0.0009104  0.0009356 
     30  0.0005632  0.0005851  0.0006022   0.000624  0.0006448  0.0006621   0.000678  0.0006978  0.0007244  0.0007543  0.0007926  0.0008281 
     31  0.0004948  0.0005252  0.0005443  0.0005616  0.0005785  0.0005934  0.0006061  0.0006204  0.0006389  0.0006596   0.000688  0.0007195 
     32  0.0004316   0.000466  0.0004919  0.0005089  0.0005219  0.0005341  0.0005448  0.0005554  0.0005681  0.0005824  0.0006021  0.0006246 
     33   0.000378  0.0004092  0.0004403  0.0004622  0.0004744   0.000483  0.0004919  0.0005004   0.000509  0.0005184  0.0005319  0.0005471 
     34  0.0003352  0.0003593  0.0003893  0.0004168  0.0004332  0.0004402   0.000446  0.0004532  0.0004596  0.0004651  0.0004736  0.0004837 
     35  0.0003013  0.0003186  0.0003427   0.000371  0.0003938  0.0004041  0.0004074   0.000412  0.0004173  0.0004208  0.0004252  0.0004312 
     36  0.0002738  0.0002862  0.0003039  0.0003272  0.0003529  0.0003701  0.0003751  0.0003769  0.0003804   0.000383  0.0003852  0.0003879 
     37  0.0002509  0.0002598   0.000273  0.0002895  0.0003121  0.0003347  0.0003458  0.0003477  0.0003486  0.0003499  0.0003513  0.0003522 
     38  0.0002313  0.0002375   0.000248  0.0002593  0.0002755  0.0002979  0.0003157  0.0003221  0.0003219   0.000321  0.0003217  0.0003221 
     39  0.0002139  0.0002183  0.0002269  0.0002353  0.0002458  0.0002632  0.0002833  0.0002963  0.0002991  0.0002968  0.0002956  0.0002959 
     40  0.0001979  0.0002014  0.0002087  0.0002156  0.0002223  0.0002338  0.0002512  0.0002683   0.000277  0.0002763  0.0002736  0.0002726 
     41  0.0001829  0.0001858  0.0001928  0.0001987  0.0002033  0.0002107  0.0002229  0.0002392  0.0002529  0.0002573  0.0002553  0.0002526 
     42  0.0001689  0.0001713  0.0001782   0.000184  0.0001874  0.0001921  0.0001999  0.0002123   0.000227  0.0002366  0.0002388  0.0002361 
     43  0.0001558  0.0001578  0.0001645  0.0001709  0.0001738  0.0001766  0.0001817  0.0001898   0.000202  0.0002139  0.0002214  0.0002216 
     44  0.0001436  0.0001455  0.0001515  0.0001585  0.0001618  0.0001635  0.0001665  0.0001718  0.0001802  0.0001907  0.0002016  0.0002069 
     45  0.0001321  0.0001343  0.0001395  0.0001466  0.0001509  0.0001521  0.0001535  0.0001571  0.0001627    0.00017  0.0001807  0.0001899 
     46   0.000121  0.0001238  0.0001283   0.000135  0.0001404   0.000142  0.0001425  0.0001444  0.0001484   0.000153  0.0001611  0.0001712 
     47  0.0001103  0.0001141  0.0001181  0.0001241  0.0001298  0.0001326  0.0001329  0.0001337  0.0001365  0.0001395  0.0001446  0.0001529 
     48  0.0001005  0.0001048  0.0001088   0.000114  0.0001196  0.0001232  0.0001244  0.0001246   0.000126  0.0001281  0.0001315   0.000137 
     49  9.213e-05  9.587e-05  0.0001002  0.0001048    0.00011  0.0001139  0.0001162  0.0001169  0.0001172  0.0001182  0.0001208  0.0001242 
     50  8.526e-05  8.765e-05  9.223e-05  9.646e-05  0.0001012   0.000105   0.000108  0.0001098  0.0001098  0.0001097  0.0001116   0.000114 
