 relpix      w1250      w1300      w1350      w1400      w1450      w1500      w1550      w1600      w1650      w1700      w1750      w1800 
    -50  8.859e-05  8.653e-05  8.788e-05  9.029e-05  9.225e-05  9.472e-05   9.73e-05   9.89e-05  0.0001004  0.0001027  0.0001058  0.0001084 
    -49  9.503e-05  9.431e-05   9.67e-05  9.877e-05  0.0001012  0.0001051  0.0001073  0.0001082  0.0001098  0.0001125  0.0001157  0.0001181 
    -48   0.000103  0.0001036  0.0001062  0.0001082   0.000112  0.0001164  0.0001179  0.0001185  0.0001206  0.0001234  0.0001263  0.0001288 
    -47  0.0001127  0.0001142  0.0001165  0.0001194  0.0001244  0.0001284  0.0001294  0.0001303  0.0001325  0.0001351  0.0001378  0.0001417 
    -46  0.0001241  0.0001257  0.0001284  0.0001326  0.0001378  0.0001409  0.0001422  0.0001438  0.0001456  0.0001478  0.0001515  0.0001583 
    -45  0.0001369  0.0001388  0.0001427  0.0001476  0.0001521  0.0001545  0.0001569  0.0001585  0.0001597  0.0001625  0.0001688  0.0001798 
    -44  0.0001511  0.0001542  0.0001595  0.0001637  0.0001673  0.0001701  0.0001732  0.0001747   0.000176  0.0001809  0.0001914  0.0002057 
    -43  0.0001676  0.0001725  0.0001778  0.0001808  0.0001844  0.0001879  0.0001909  0.0001929   0.000196  0.0002048  0.0002193  0.0002348 
    -42  0.0001874  0.0001933  0.0001971  0.0001996   0.000204  0.0002075  0.0002109  0.0002152  0.0002221  0.0002349  0.0002512  0.0002657 
    -41  0.0002105  0.0002155   0.000218  0.0002213  0.0002261  0.0002293  0.0002346  0.0002435  0.0002551    0.00027  0.0002856  0.0002992 
    -40  0.0002361  0.0002392  0.0002417   0.000246  0.0002503   0.000255  0.0002648  0.0002793  0.0002941  0.0003086  0.0003226  0.0003372 
    -39  0.0002634  0.0002657  0.0002691  0.0002734  0.0002782   0.000287  0.0003031  0.0003216   0.000337  0.0003499  0.0003641  0.0003824 
    -38  0.0002933  0.0002964  0.0003001  0.0003042  0.0003123  0.0003277   0.000349  0.0003684  0.0003828  0.0003959   0.000413  0.0004369 
    -37  0.0003276  0.0003315  0.0003349  0.0003409  0.0003553  0.0003772  0.0004006  0.0004185  0.0004331  0.0004496  0.0004722  0.0005007 
    -36  0.0003672   0.000371  0.0003756  0.0003864   0.000408  0.0004336   0.000456  0.0004733  0.0004915  0.0005146  0.0005422  0.0005719 
    -35  0.0004124  0.0004164  0.0004249  0.0004427  0.0004693  0.0004949  0.0005166  0.0005374  0.0005623  0.0005923  0.0006215  0.0006468 
    -34  0.0004638  0.0004703  0.0004854  0.0005093  0.0005371  0.0005618  0.0005871  0.0006158  0.0006478  0.0006808  0.0007059  0.0007212 
    -33  0.0005237  0.0005357  0.0005575  0.0005842  0.0006116  0.0006392  0.0006737  0.0007115  0.0007463   0.000775  0.0007895  0.0007912 
