ssq1	ssq2	ssq3	ssq4	ssq5
0.793359	1.547433	3.012084	5.92264	11.771158
0.506928	0.887047	1.571432	2.650426	5.097358
0.448036	0.719848	1.119148	1.829246	
0.348852	0.52801	0.772515	1.194362	
0.287496	0.4172	0.584942	0.863166	
0.245301	0.344862	0.468502	0.666312	
0.231837	0.337453	0.4801		
0.204708	0.290932	0.405807		
0.183854	0.255688	0.34598		
0.166768	0.228056	0.303297		
0.153599	0.208743	0.276401		
0.141696	0.18954	0.244711		
0.130847	0.171908	0.218195		
0.122141	0.159255	0.201209		
0.114388	0.147957	0.186269		
0.107654	0.138141	0.172695		
0.101705	0.129638	0.161216		
0.096376	0.121957	0.150499		
0.091578	0.115044	0.140764		
0.087298	0.109172	0.133168		
0.086093	0.110856			
0.082343	0.105413			
0.078923	0.100488			
0.075801	0.09603			
0.072911	0.091932			
0.070246	0.088178			
0.067726	0.084652			
0.065382	0.08139			
0.063047	0.07816			
0.061028	0.075382			
0.793359	1.547433			
0.506928	0.887047			
0.448036	0.719848			
0.348852	0.52801			
0.287496	0.4172			
0.245301	0.344862			
0.231837	0.337453			
0.204708	0.290932			
0.183854	0.255688			
0.166768	0.228056			
0.153599	0.208743			
0.141696	0.18954			
0.130847	0.171908			
0.122141	0.159255			
0.114388	0.147957			
0.107654	0.138141			
0.101705	0.129638			
0.096376	0.121957			
0.091578	0.115044			
0.087298	0.109172			
0.086093	0.110856			
0.082343	0.105413			
0.078923	0.100488			
0.075801	0.09603			
0.072911	0.091932			
0.070246	0.088178			
0.067726	0.084652			
0.065382	0.08139			
0.063047	0.07816			
0.061028	0.075382			
