w1	w2	w3	w4	w5
0.044334	0.294977	0.429806	0.207597	0.023286
0.063586	0.450637	0.405544	0.076979	0.003254
0.206397	0.518711	0.251858	0.023034	
0.204072	0.522425	0.251401	0.022102	
0.204101	0.52318	0.250535	0.022184	
0.204665	0.522745	0.250057	0.022533	
0.38065	0.550368	0.068982		
0.376986	0.554703	0.068311		
0.379651	0.547164	0.073185		
0.379554	0.546832	0.073614		
0.401391	0.543566	0.055043		
0.401546	0.535463	0.062991		
0.382557	0.537188	0.080255		
0.384717	0.541301	0.073982		
0.381464	0.547412	0.071124		
0.380527	0.548631	0.070843		
0.380767	0.550416	0.068817		
0.379757	0.549739	0.070504		
0.37807	0.547679	0.074251		
0.380199	0.549532	0.070269		
0.537661	0.462339			
0.537773	0.462227			
0.538551	0.461449			
0.540635	0.459365			
0.542054	0.457946			
0.54409	0.45591			
0.542922	0.457078			
0.541641	0.458359			
0.528778	0.471222			
0.528906	0.471094			
0.044334	0.294977			
0.063586	0.450637			
0.206397	0.518711			
0.204072	0.522425			
0.204101	0.52318			
0.204665	0.522745			
0.38065	0.550368			
0.376986	0.554703			
0.379651	0.547164			
0.379554	0.546832			
0.401391	0.543566			
0.401546	0.535463			
0.382557	0.537188			
0.384717	0.541301			
0.381464	0.547412			
0.380527	0.548631			
0.380767	0.550416			
0.379757	0.549739			
0.37807	0.547679			
0.380199	0.549532			
0.537661	0.462339			
0.537773	0.462227			
0.538551	0.461449			
0.540635	0.459365			
0.542054	0.457946			
0.54409	0.45591			
0.542922	0.457078			
0.541641	0.458359			
0.528778	0.471222			
0.528906	0.471094			
